region,lga,ward_merge,village_merge,select_wpt_name,new_wpt_name,wpt_name,wpt_code,wpt_type,wpt_type_other,wpt_status,wpt_non_functional_reason,wpt_non_functional_reason_other,wpt_pbr_status,wpt_call_status,pbr_nonfunctional_functional,pbr_functional_nonfunctional,call_nonfunctional_functional,call_functional_nonfunctional,wpt_pbr_scheme,scheme_merge,scheme_name_change,lat,long,wpt_image,numbertaps
Dodoma,Kondoa,Soera,Humai,NA,Shamba la khamis Kandiki,Shamba la khamis Kandiki,NA,communal_standpipe,NA,Not_functional,2 4 9 10,NA,NA,NA,NA,NA,NA,NA,NA,Operation vijijini,NA,-4.65400258,35.78604711,http://classic.ona.io/api/v1/files/2380294?filename=pbrtz/attachments/1474367453443.jpg,NA
Dodoma,Kondoa,Soera,Humai,NA,Kwa Mohamed Kwanja,Kwa Mohamed Kwanja,NA,communal_standpipe,NA,Not_functional,9 10,NA,NA,NA,NA,NA,NA,NA,NA,Operation vijijini,NA,-4.64938846,35.78400282,http://classic.ona.io/api/v1/files/2380301?filename=pbrtz/attachments/1474368399437.jpg,NA
Dodoma,Kondoa,Soera,Humai,NA,Kwa mzee Furuaa,Kwa mzee Furuaa,NA,communal_standpipe,NA,Not_functional,9 10 7,NA,NA,NA,NA,NA,NA,NA,NA,Operation vijiji,NA,-4.67305203,35.79499402,http://classic.ona.io/api/v1/files/2380309?filename=pbrtz/attachments/1474374265282.jpg,NA
Dodoma,Kondoa,Soera,Humai,NA,Idara ya Maji,Idara ya Maji,NA,communal_standpipe,NA,Not_functional,9 10 7,NA,NA,NA,NA,NA,NA,NA,NA,Operation vijijini,NA,-4.67307851,35.80346792,http://classic.ona.io/api/v1/files/2380317?filename=pbrtz/attachments/1474375350689.jpg,NA
Pwani,Kibaha,Gwata,Gumba,Dunguya_06023011032WP05,NA,Dunguya_06023011032WP05,06023011032WP05,kiosk,NA,Functional,NA,NA,Functional,NA,NA,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.764320639,38.35147611,http://classic.ona.io/api/v1/files/2382532?filename=pbrtz/attachments/1474258936490.jpg,4
Pwani,Kibaha,Gwata,Gumba,NA,Kwa mzee nambali,Kwa mzee nambali,NA,kiosk,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wami Chalinze,NA,-6.767123574,38.35484399,http://classic.ona.io/api/v1/files/2382530?filename=pbrtz/attachments/1474259379691.jpg,NA
Pwani,Kibaha,Gwata,Gumba,NA,Kwa ramadhani salehe,Kwa ramadhani salehe,NA,kiosk,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wami chalinze,NA,-6.769062517,38.35512795,http://classic.ona.io/api/v1/files/2382534?filename=pbrtz/attachments/1474259752820.jpg,NA
Pwani,Kibaha,Gwata,Gumba,Jacob_Goha_06023011032WP04,NA,Jacob_Goha_06023011032WP04,06023011032WP04,kiosk,NA,Functional,NA,NA,Functional,NA,NA,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.764556102,38.35572618,http://classic.ona.io/api/v1/files/2382538?filename=pbrtz/attachments/1474261512731.jpg,4
Pwani,Kibaha,Gwata,Gumba,Kwa_Rajabu_Uone_06023011032WP06,NA,Kwa_Rajabu_Uone_06023011032WP06,06023011032WP06,kiosk,NA,Functional,NA,NA,Functional,NA,NA,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.76055616,38.35985423,http://classic.ona.io/api/v1/files/2382537?filename=pbrtz/attachments/1474261997201.jpg,4
Pwani,Kibaha,Gwata,Ndwati,NA,Kwa deo,Kwa deo,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wami chalinze,NA,-6.769186356,38.37631074,http://classic.ona.io/api/v1/files/2382546?filename=pbrtz/attachments/1474260714532.jpg,NA
Pwani,Kibaha,Gwata,Mirarazi,NA,Matambo/ tausi,Matambo/ tausi,NA,kiosk,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,Wami Chalinze,NA,-6.757035583,38.36051375,http://classic.ona.io/api/v1/files/2382558?filename=pbrtz/attachments/1474262892260.jpg,NA
Pwani,Kibaha,Gwata,Mirarazi,NA,Kwa shabani,Kwa shabani,NA,kiosk,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wami chalinze,NA,-6.739741831,38.36156565,http://classic.ona.io/api/v1/files/2382559?filename=pbrtz/attachments/1474263717548.jpg,NA
Pwani,Kibaha,Gwata,Gwata,Musa_Gamba_06023011032WP09,NA,Musa_Gamba_06023011032WP09,06023011032WP09,kiosk,NA,Not_functional,7,NA,Functional,NA,less_month,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.720345342,38.36864055,http://classic.ona.io/api/v1/files/2382594?filename=pbrtz/attachments/1474265599544.jpg,4
Pwani,Kibaha,Gwata,Gwata,Amani_Chongww_06023011032WP10,NA,Amani_Chongww_06023011032WP10,06023011032WP10,kiosk,NA,Not_functional,7,NA,Functional,NA,less_week,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.717484913,38.36819254,http://classic.ona.io/api/v1/files/2382597?filename=pbrtz/attachments/1474266393935.jpg,4
Pwani,Kibaha,Gwata,Gwata,NA,Kwa mama ana/aisha kibwan rashidi,Kwa mama ana/aisha kibwan rashidi,NA,kiosk,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,Wami chalinze,NA,-6.715147519,38.37019341,http://classic.ona.io/api/v1/files/2382603?filename=pbrtz/attachments/1474266896909.jpg,NA
Pwani,Kibaha,Gwata,Gwata,NA,Kwa frank / Mlamsanga,Kwa frank / Mlamsanga,NA,kiosk,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,Wami chalinze,NA,-6.711930948,38.36906126,http://classic.ona.io/api/v1/files/2382592?filename=pbrtz/attachments/1474267512041.jpg,NA
Pwani,Kibaha,Gwata,Gwata,NA,Kwa maneva,Kwa maneva,NA,kiosk,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,Wami chalinze,NA,-6.712279376,38.37133187,http://classic.ona.io/api/v1/files/2382595?filename=pbrtz/attachments/1474267963546.jpg,NA
Pwani,Kibaha,Gwata,Gwata,Hosea_Kanda_06023011032WP14,NA,Hosea_Kanda_06023011032WP14,06023011032WP14,kiosk,NA,Not_functional,7,NA,Functional,NA,less_month,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.710382718,38.37217915,http://classic.ona.io/api/v1/files/2382596?filename=pbrtz/attachments/1474268370482.jpg,4
Pwani,Kibaha,Gwata,Gwata,Husseni_Masha_06023011032WP15,NA,Husseni_Masha_06023011032WP15,06023011032WP15,kiosk,NA,Not_functional,7,NA,Functional,NA,less_month,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.710999478,38.37400634,http://classic.ona.io/api/v1/files/2382605?filename=pbrtz/attachments/1474269085838.jpg,4
Morogoro,Morogoro,Mvuha,Tulo,Kwa_Mzee_Mtalimbo_05023043031WP37,NA,Kwa_Mzee_Mtalimbo_05023043031WP37,05023043031WP37,handpump_borehole,NA,Functional,NA,NA,Functional,NA,NA,NA,NA,NA,NA,Holand,NA,-7.245986252,37.93231502,http://classic.ona.io/api/v1/files/2382663?filename=pbrtz/attachments/1474291255893.jpg,1
Morogoro,Morogoro,Mvuha,Tulo,Kwa_Mzee_Papilo_05023043031WP33,NA,Kwa_Mzee_Papilo_05023043031WP33,05023043031WP33,handpump_borehole,NA,Not_functional,6,NA,Not_functional,NA,NA,NA,NA,NA,NA,Holand,NA,-7.24174581,37.91798746,http://classic.ona.io/api/v1/files/2382664?filename=pbrtz/attachments/1474293050390.jpg,1
Morogoro,Morogoro,Mvuha,Lukulunge,Kwa_Mzee_Sudi_05023043031WP31,NA,Kwa_Mzee_Sudi_05023043031WP31,05023043031WP31,handpump_borehole,NA,Not_functional,7,NA,Functional,NA,more_3_months,NA,NA,NA,NA,Holand,NA,-7.22626453,37.88932016,http://classic.ona.io/api/v1/files/2382671?filename=pbrtz/attachments/1474295076995.jpg,1
Morogoro,Morogoro,Mvuha,Lukulunge,Kwa_Mzee_Simulizi_05023043031WP32,NA,Kwa_Mzee_Simulizi_05023043031WP32,05023043031WP32,handpump_borehole,NA,Functional,NA,NA,Functional,NA,NA,NA,NA,NA,NA,Holand 1982,NA,-7.219306778,37.87865353,http://classic.ona.io/api/v1/files/2382670?filename=pbrtz/attachments/1474296128314.jpg,1
Morogoro,Morogoro,Mvuha,Mvuha,Mvuha_Sekondari_05023043031WP51,NA,Mvuha_Sekondari_05023043031WP51,05023043031WP51,communal_standpipe,NA,Not_functional,7,NA,Not_functional,NA,NA,NA,NA,NA,Mvuha/Dalla_Water_Supply,World bank,NA,-7.206044328,37.87212135,http://classic.ona.io/api/v1/files/2382698?filename=pbrtz/attachments/1474297502614.jpg,1
Morogoro,Morogoro,Mvuha,Mvuha,Zahanati_05023043031WP52,NA,Zahanati_05023043031WP52,05023043031WP52,communal_standpipe,NA,Not_functional,7,NA,Not_functional,NA,NA,NA,NA,NA,Mvuha/Dalla_Water_Supply,World bank,NA,-7.201578385,37.86417927,http://classic.ona.io/api/v1/files/2382701?filename=pbrtz/attachments/1474297892253.jpg,1
Morogoro,Morogoro,Mvuha,Mvuha,NA,Kimelo darajani,Kimelo darajani,NA,handpump_borehole,NA,Not_functional,1 2,NA,NA,NA,NA,NA,NA,NA,NA,KEA,NA,-7.200333654,37.8610513,http://classic.ona.io/api/v1/files/2382693?filename=pbrtz/attachments/1474298276716.jpg,NA
