"","wpt_name","wpt_type","wpt_type_other","wpt_status","wpt_non_functional_reason","wpt_non_functional_reason_other","wpt_pbr_status","wpt_call_status","pbr_nonfunctional_functional","pbr_functional_nonfunctional","call_nonfunctional_functional","call_functional_nonfunctional","wpt_pbr_scheme","scheme_name_change","lat","long","wpt_image","region","lga","ward_merge","village_merge","scheme_merge"
"11","Soweto","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.835020939766244","38.63926021586062","http://classic.ona.io/api/v1/files/2369020?filename=pbrtz/attachments/1474110119225.jpg","Pwani","Kibaha","Ruvu","Minazi Mikinda","JICA"
"12","Shule ya msingi ruvu","handpump_borehole",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.813093571927119","38.64956676366005","http://classic.ona.io/api/v1/files/2369041?filename=pbrtz/attachments/1474110680614.jpg","Pwani","Kibaha","Ruvu","Minazi Mikinda","JICA"
"13","Kwa kawayawaya","handpump_borehole",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.810690609394214","38.64879459747854","http://classic.ona.io/api/v1/files/2369038?filename=pbrtz/attachments/1474110924757.jpg","Pwani","Kibaha","Ruvu","Minazi Mikinda","JICA"
"14","Kwa juma bigwa","handpump_borehole",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.812866743516813","38.65420175311209","http://classic.ona.io/api/v1/files/2369034?filename=pbrtz/attachments/1474111331686.jpg","Pwani","Kibaha","Ruvu","Minazi Mikinda","JICA"
"15","Kwa mzee kishoka","handpump_borehole",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.809931688851659","38.655178106266696","http://classic.ona.io/api/v1/files/2369039?filename=pbrtz/attachments/1474111770906.jpg","Pwani","Kibaha","Ruvu","Minazi Mikinda","JICA"
"16","Kijiweni","handpump_borehole",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.810525985179613","38.656716223799265","http://classic.ona.io/api/v1/files/2369033?filename=pbrtz/attachments/1474112124156.jpg","Pwani","Kibaha","Ruvu","Minazi Mikinda","JICA"
"17","Shuleni","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.307450534089849","35.88548527587403","http://classic.ona.io/api/v1/files/2370054?filename=pbrtz/attachments/1474103312568.jpg","Dodoma","Chemba","Chemba","Kambi ya Nyasa","Kambi ya Nyasa water scheme"
"18","Stand","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.311421659435385","35.88295394322552","http://classic.ona.io/api/v1/files/2370051?filename=pbrtz/attachments/1474103910511.jpg","Dodoma","Chemba","Chemba","Kambi ya Nyasa","Kambi ya Nyasa"
"19","Sekondari","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.310199917563417","35.892756013481055","http://classic.ona.io/api/v1/files/2370049?filename=pbrtz/attachments/1474105301826.jpg","Dodoma","Chemba","Chemba","Kambi ya Nyasa","Kambi ya Nyasa"
"20","Kijijini","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.308100788335941","35.90900690164177","http://classic.ona.io/api/v1/files/2370064?filename=pbrtz/attachments/1474106085379.jpg","Dodoma","Chemba","Chemba","Kambi ya Nyasa","Kambi ya Nyasa"
"21","Ukristoni","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.3156237459216635","35.88249586704892","http://classic.ona.io/api/v1/files/2370060?filename=pbrtz/attachments/1474107661098.jpg","Dodoma","Chemba","Chemba","Kambi ya Nyasa","Kambi ya Nyasa"
"22","Bombani","communal_standpipe",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.243292779960135","35.890602314218356","http://classic.ona.io/api/v1/files/2370070?filename=pbrtz/attachments/1474111414960.jpg","Dodoma","Chemba","Chemba","Chemba","LGA"
"23","Bombani_01073109131WP22","kiosk",NA,"Functional",NA,NA,"Functional",NA,NA,NA,NA,NA,"Chemba",NA,"-5.24280554628906","35.890279577292084","http://classic.ona.io/api/v1/files/2370068?filename=pbrtz/attachments/1474111989161.jpg","Dodoma","Chemba","Chemba","Chemba","Chemba"
"24","Kwa Juma","communal_standpipe",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.239963142398506","35.89040055820402","http://classic.ona.io/api/v1/files/2370072?filename=pbrtz/attachments/1474112973803.jpg","Dodoma","Chemba","Chemba","Chemba","LGA"
"25","Bombani","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.248377100221719","35.89251620134835","http://classic.ona.io/api/v1/files/2370069?filename=pbrtz/attachments/1474114019264.jpg","Dodoma","Chemba","Chemba","Chemba","LGA"
"26","Shuleni_01073109131WP23","kiosk",NA,"Functional",NA,NA,"Not_functional",NA,NA,"never_non_functional",NA,NA,"Chemba",NA,"-5.236452098242299","35.890342057765324","http://classic.ona.io/api/v1/files/2370067?filename=pbrtz/attachments/1474115307329.jpg","Dodoma","Chemba","Chemba","Chemba","Chemba"
"27","Kwamjungu_01073109131WP24","kiosk",NA,"Functional",NA,NA,"Not_functional",NA,NA,"never_non_functional",NA,NA,"Chemba",NA,"-5.23148110508996","35.88951733067199","http://classic.ona.io/api/v1/files/2370078?filename=pbrtz/attachments/1474117600432.jpg","Dodoma","Chemba","Chemba","Chemba","Chemba"
