region,lga,ward,village,wpt_name,wpt_code,note,select_wpt_name,new_wpt_name,scheme_merge,wpt_type,wpt_type_other,wpt_status,wpt_non_functional_reason,wpt_non_functional_reason_other,wpt_pbr_status,pbr_nonfunctional_functional,pbr_functional_nonfunctional,village_merge,wpt_pbr_scheme,scheme_name_change,long,lat,accuracy,wpt_osm,wpt_gps
Pwani,Kibaha,Magindu,Magindu,Kwa mama jiti,NA,,NA,Kwa mama jiti,Wami-Chalinze,kiosk,NA,Functional,NA,NA,NA,NA,NA,Magindu,NA,NA,38.32391646,-6.823375866,4,f43db00ff08ec124e478c03ba482ba9444b69165.osm,-6.82337586576181 38.32391646086901 149.83419105755422 4.0
Pwani,Kibaha,Magindu,Magindu,Kwa hasani omary bushiri,NA,,NA,Kwa hasani omary bushiri,Wami chalize,kiosk,NA,Functional,NA,NA,NA,NA,NA,Magindu,NA,NA,38.32563952,-6.816223619,4,d7b77e8c092db45f7ee4a8be2a6b5c7b3beaf854.osm,-6.816223619490274 38.32563952234573 151.8226665008487 4.0
Pwani,Kibaha,Magindu,Magindu,Paulina  Chacha (kwa kasongo),NA,,NA,Paulina  Chacha (kwa kasongo),Wami-chalinze,kiosk,NA,Functional,NA,NA,NA,NA,NA,Magindu,NA,NA,38.32302539,-6.815326997,4,4c30313a1a69fbf717d71509bfb99fc4f86dd23f.osm,-6.815326996862022 38.32302538861172 150.0272972088157 4.0
Pwani,Kibaha,Magindu,Magindu,Mateo_Kisebengo_06023011031WP 06,06023011031WP 06,,Mateo_Kisebengo_06023011031WP 06,NA,Wami_Chalinze,kiosk,NA,Functional,NA,NA,Functional,NA,NA,Magindu,Wami_Chalinze,NA,38.3229398,-6.816448258,4,ba8f2358b8823e929bd8c68bee42ffedc4221afe.osm,-6.816448258195901 38.3229397964956 150.7997393897507 4.0
Pwani,Kibaha,Magindu,Mizuguni,Kwa mlandete,NA,,NA,Kwa mlandete,Wami-Chalinze,kiosk,NA,Not_functional,7,NA,NA,NA,NA,Mizuguni,NA,NA,38.31313393,-6.824033414,4,7a40e8a13f567f498670ece1ee66b90099b8783f.osm,-6.824033413689447 38.31313393030946 167.03502789406338 4.0
Pwani,Kibaha,Magindu,Mizuguni,Kwa msafiri,NA,,NA,Kwa msafiri,Wami- Chalinze,kiosk,NA,Functional,NA,NA,NA,NA,NA,Mizuguni,NA,NA,38.31618067,-6.818935191,4,3b6a3b2b36cbe94ec989736b7c6785db13cd1b1c.osm,-6.81893519062797 38.316180673999796 162.96190640506833 4.0
Pwani,Kibaha,Magindu,Mizuguni,Esta_Dikoko_06023011031WP 01,06023011031WP 01,,Esta_Dikoko_06023011031WP 01,NA,Wami_Chalinze,kiosk,NA,Functional,NA,NA,Functional,NA,NA,Mizuguni,Wami_Chalinze,NA,38.31954368,-6.816927045,4,3ece61013252a9c19e47c9d3a49e2a67c58db572.osm,-6.81692704502952 38.31954368045592 162.08609551820135 4.0
Pwani,Kibaha,Magindu,Mizuguni,Kwa mzee maneno,NA,,NA,Kwa mzee maneno,Wami- Chalinze,kiosk,NA,Functional,NA,NA,NA,NA,NA,Mizuguni,NA,NA,38.31871073,-6.815686586,4,fb13a062740290d30f132799d0e54356363d601d.osm,-6.8156865861184555 38.31871072577759 155.1267328220001 4.0
Dodoma,Chemba,Kidoka,Pangalua,Uwanjani,NA,,NA,Uwanjani,Mradi wa maji pangalua,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Pangalua,NA,NA,35.9371428,-5.38218327,5,c9ddadfe0feb6066dc46f385da8e011acb9c1740.osm,-5.38218327 35.9371428 1167.0 5.0
Dodoma,Chemba,Kidoka,Pangalua,Kwa Mwenyekiti,NA,,NA,Kwa Mwenyekiti,Pangalua,communal_standpipe,NA,Not_functional,8 10,NA,NA,NA,NA,Pangalua,NA,NA,35.93674317,-5.37737561,5,b573c866e9e2b86bf586575ef91b9acd8c71621b.osm,-5.37737561 35.93674317 1168.0 5.0
Dodoma,Chemba,Kidoka,Pangalua,Uwanjani juu,NA,,NA,Uwanjani juu,Pangalua,cattle_trough,NA,Functional,NA,NA,NA,NA,NA,Pangalua,NA,NA,35.9378285,-5.38086852,3,540be7c929493ccf9eb97fc474f2eca3a99d3a7c.osm,-5.38086852 35.9378285 1169.0 3.0
Dodoma,Chemba,Kidoka,Pangalua,Kanisani,NA,,NA,Kanisani,Pangaluwa,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Pangalua,NA,NA,35.93807934,-5.38770764,5,c17d1f1e2c02864bee40726c8af8f891826f9402.osm,-5.38770764 35.93807934 1172.0 5.0
